"stagadenn","lec_hanv","kumun","insee","rummad","dibab","deiziad_degemer","niv"
"Le","Carton Voyageur","Baod",56010,"Monumant","Ar Gartenn Veajourez",02/04/2019,151912
,"Trévoazec","Dineol",29044,"Kêriadenn","Trewazeg",02/04/2019,60217
,"Ty ar Nevez","Dineol",29044,"Kêriadenn","Tier Nevez",02/04/2019,151510
,"Ty ar Glas","Dineol",29044,"Kêriadenn","Tier Glas",02/04/2019,151508
,"Ty Avel","Dineol",29044,"Kêriadenn","Ti Avel",02/04/2019,151521
"Halle de Sport de","Kerzudal","Brest",29019,"Monumant","Hall ar Sportoù Kerzudal",02/04/2019,140251
"Rue des","Chevreuils","Pleskob",56158,"Hent","Straed ar Yourc'hed",01/04/2019,151898
"Chemin du","Guernic","Pleskob",56158,"Hent","Hentig ar Wernig",01/04/2019,151899
,"Kervern","Dineol",29044,"Kêriadenn","Kerwern",01/04/2019,151424
,"Kerveur","Dineol",29044,"Kêriadenn","Ar Gerveur",01/04/2019,151425
,"Kervinic","Dineol",29044,"Kêriadenn","Kervinig",01/04/2019,60183
,"Landeleau","Dineol",29044,"Kêriadenn","Landelo",01/04/2019,120457
"La Grande","Garenne","Dineol",29044,"Kêriadenn","Ar Waremm Vras",01/04/2019,151402
"La Petite","Garenne","Dineol",29044,"Kêriadenn","Ar Waremm Vihan",01/04/2019,151403
"Le","Hellès","Dineol",29044,"Kêriadenn","Hellez",01/04/2019,151406
"Le","Rest","Dineol",29044,"Kêriadenn","Ar Rest",01/04/2019,151499
,"Restou","Dineol",29044,"Kêriadenn","Ar Restoù",01/04/2019,151500
,"Scars","Dineol",29044,"Kêriadenn","Skarz",01/04/2019,151503
,"Lein ar Voguer","Dineol",29044,"Kêriadenn","Lein ar Voger",01/04/2019,151430
"Ecluse de","Saint-Algon","Pleiben",29162,"Monumant","Skuz Sant-Algon",01/04/2019,141210
,"Menez Justice","Dineol",29044,"Kêriadenn","Menez Justis",01/04/2019,151440
,"Menez Perric","Dineol",29044,"Kêriadenn","Menez Pêrig",01/04/2019,151441
,"Ménic","Dineol",29044,"Kêriadenn","Menig",01/04/2019,151442
,"Merdy","Dineol",29044,"Kêriadenn","Merdi",01/04/2019,151443
,"Merdy Vian","Dineol",29044,"Kêriadenn","Merdi Vihan",01/04/2019,151444
,"Moudennou","Dineol",29044,"Kêriadenn","Moudennoù",01/04/2019,60189
"Moulin","Lezaff","Dineol",29044,"Monumant","Meilh Lezaf",01/04/2019,151427
,"Ty Coz","Dineol",29044,"Kêriadenn","Ti Kozh",01/04/2019,151455
"Moulin de","Ty Coz","Dineol",29044,"Kêriadenn","Meilh Ti Kozh",01/04/2019,151456
"Moulin","Veyer","Dineol",29044,"Kêriadenn","Meilh ar Veier",01/04/2019,60191
,"Penn ar Menez","Dineol",29044,"Kêriadenn","Penn ar Menez",01/04/2019,151460
,"Pen ar Stang","Dineol",29044,"Kêriadenn","Penn ar Stank",01/04/2019,60193
,"Penfrat","Dineol",29044,"Kêriadenn","Penfrad",01/04/2019,151459
,"Pennalé","Dineol",29044,"Kêriadenn","Pennale",01/04/2019,151461
,"Pennaros","Dineol",29044,"Kêriadenn","Pennaroz",01/04/2019,151462
,"Gorré ar Yeun","Dineol",29044,"Kêriadenn","Gorre ar Yeun",01/04/2019,60155
,"Pennarun","Dineol",29044,"Kêriadenn","Pennarun",01/04/2019,148475
,"Pennavouez","Dineol",29044,"Kêriadenn","Pennawezh",01/04/2019,60195
,"Pontigou","Dineol",29044,"Kêriadenn","Pontigoù",01/04/2019,151497
,"Rolzac'h","Dineol",29044,"Kêriadenn","Rolzac'h",01/04/2019,60205
,"Roscoat","Dineol",29044,"Kêriadenn","Roskoad",01/04/2019,151501
,"Rouistin","Dineol",29044,"Kêriadenn","Rouistin",01/04/2019,60209
,"Rozarnou","Dineol",29044,"Kêriadenn","Rozarnoù",01/04/2019,60211
,"Stang","Dineol",29044,"Kêriadenn","Stank",01/04/2019,151504
,"Toul ar C'hoat","Dineol",29044,"Kêriadenn","Toull ar C'hoad",01/04/2019,151505
,"Tachennic","Pleiben",29162,"Kêriadenn","Tachennig",31/03/2019,2977
"Chapelle","Saint-Laurent","Pleiben",29162,"Monumant","Chapel Sant Laorañs",31/03/2019,91739
,"Quillien (Troleo)","Pleiben",29162,"Kêriadenn","Killien",31/03/2019,2952
"Château de","Quillien (Troleo)","Pleiben",29162,"Monumant","Kastell Killien",31/03/2019,95189
,"Quillien Trésiguidy","Pleiben",29162,"Kêriadenn","Killien Trezigidi",31/03/2019,2951
,"Quillien Izella","Pleiben",29162,"Kêriadenn","Killien Izelañ",31/03/2019,151668
"Moulin de","Quillien Troleo","Pleiben",29162,"Kêriadenn","Meilh Killien (Ar Veih Gozh)",31/03/2019,2908
,"Restavidan","Pleiben",29162,"Kêriadenn","Restavidan",31/03/2019,13969
,"Rosalguen","Pleiben",29162,"Kêriadenn","Rozalgen",31/03/2019,2957
,"Roz ar C'hallez","Pleiben",29162,"Kêriadenn","Roz ar C'hallez",31/03/2019,2960
